cpu_load,queue_level,queue_dropped,process_jitter,process_deadline_miss,process_exec_time,process_stack_left,sensor_deadline_miss,comm_deadline_miss,health_label
1.0,0.0,0.0,414.0,263.0,414.0,114.0,33.0,28.0,2
1.0,1.0,0.0,514.0,266.0,414.0,114.0,34.0,28.0,2
10.0,0.0,0.0,414.0,270.0,414.0,114.0,34.0,28.0,2
1.0,1.0,0.0,442.0,273.0,414.0,114.0,35.0,29.0,2
1.0,1.0,0.0,414.0,276.0,414.0,114.0,35.0,29.0,2
8.0,0.0,0.0,414.0,280.0,414.0,114.0,35.0,30.0,2
0.0,0.0,0.0,414.0,283.0,414.0,114.0,36.0,30.0,2
1.0,1.0,0.0,414.0,286.0,414.0,114.0,36.0,30.0,2
0.0,4.0,0.0,0.0,0.0,382.0,392.0,0.0,0.0,1
0.0,10.0,41.0,382.0,3.0,382.0,392.0,0.0,0.0,1
13.0,10.0,92.0,382.0,7.0,382.0,392.0,0.0,1.0,1
0.0,10.0,139.0,382.0,10.0,382.0,392.0,0.0,1.0,1
13.0,10.0,190.0,382.0,14.0,382.0,392.0,0.0,2.0,1
0.0,10.0,237.0,382.0,17.0,382.0,392.0,0.0,2.0,1
13.0,10.0,288.0,382.0,21.0,382.0,392.0,0.0,3.0,1
0.0,10.0,335.0,382.0,24.0,382.0,392.0,0.0,3.0,1
13.0,10.0,386.0,382.0,28.0,382.0,392.0,0.0,4.0,1
0.0,10.0,433.0,382.0,31.0,382.0,392.0,0.0,4.0,1
13.0,10.0,484.0,382.0,35.0,382.0,392.0,0.0,5.0,1
0.0,10.0,531.0,382.0,38.0,382.0,392.0,0.0,5.0,1
13.0,10.0,582.0,382.0,42.0,382.0,392.0,0.0,6.0,1
0.0,10.0,629.0,382.0,45.0,382.0,392.0,0.0,6.0,1
